symbol,company_name,exchange,website,presentation_url,pdf_url,local_path,r2_url,found_via,score,file_size_kb,last_checked,error
FVI,Fortuna Mining Corp.,TSX,https://www.fortunamining.com,,,,,not_found,0,0,2026-04-03T18:05:40.311730,
GOLD,GoldMining Inc.,TSX,https://www.goldmining.com,,,,,not_found,0,0,2026-04-03T18:06:01.851617,
FURY,Fury Gold Mines Limited,TSX,https://www.furygoldmines.com,,,,,not_found,0,0,2026-04-03T18:05:39.129826,
HBM,Hudbay Minerals Inc.,TSX,http://www.hudbayminerals.com,,,,,not_found,0,0,2026-04-03T18:06:03.291577,
IAU,i-80 Gold Corp.,TSX,https://www.i80gold.com,https://www.i80gold.com/corporate-presentation/,https://www.i80gold.com/PDF/web/viewer.html?file=https://www.i80gold.com/wp-content/uploads/2022/11/i-80-Presentation-November-18-2022.pdf,,,path_probe,55,4,2026-04-03T18:06:10.257641,
ESM,Euro Sun Mining Inc.,TSX,https://eurosunmining.com,,,,,not_found,0,0,2026-04-03T18:05:08.230420,
HSLV,Highlander Silver Corp.,TSX,https://highlandersilver.com,,,,,not_found,0,0,2026-04-03T18:06:04.293624,
FOM,Foran Mining Corporation,TSX,https://www.foranmining.com,https://foranmining.com/,https://foranmining.com/wp-content/uploads/2022/09/Foran-Corporate-Presentation.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\FOM\pdfs\Presentations\2026-04-03_Foran-Corporate-Presentation.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/FOM/2026-04-03_Foran-Corporate-Presentation.pdf,path_probe,55,4608,2026-04-03T18:05:35.765722,
ITH,International Tower Hill Mines Ltd.,TSX,https://www.ithmines.com,,,,,not_found,0,0,2026-04-03T18:06:13.072058,
K,Kinross Gold Corporation,TSX,https://www.kinross.com,,,,,not_found,0,0,2026-04-03T18:06:20.409699,
LAC,Lithium Americas Corp.,TSX,https://www.lithiumamericas.com,,,,,not_found,0,0,2026-04-03T18:06:21.655766,
JAG,Jaguar Mining Inc.,TSX,https://www.jaguarmining.com,,,,,not_found,0,0,2026-04-03T18:06:19.575642,
III,Imperial Metals Corporation,TSX,https://www.imperialmetals.com,,,,,not_found,0,0,2026-04-03T18:06:11.550253,
LAR,Lithium Argentina AG,TSX,https://www.lithium-argentina.com,,,,,not_found,0,0,2026-04-03T18:06:23.706032,
KNT,K92 Mining Inc.,TSX,https://www.k92mining.com,https://www.k92mining.com/about/presentations,https://www.k92mining.com/site/assets/files/6248/k92_2025-05-26_human_rights_policy_-_final.pdf,,,path_probe,70,183,2026-04-03T18:06:21.338442,
ISO,IsoEnergy Ltd.,TSX,https://www.isoenergy.ca,https://www.isoenergy.ca/investors/presentations/,https://www.isoenergy.ca/_resources/presentations/corporate-presentation.pdf?v=040310?v=0.2,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\ISO\pdfs\Presentations\2026-04-03_corporate-presentation.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/ISO/2026-04-03_corporate-presentation.pdf,sitemap,65,10102,2026-04-03T18:06:11.781807,
MGA,Mega Uranium Ltd.,TSX,https://megauranium.com,,,,,not_found,0,0,2026-04-03T18:06:30.632468,
MUX,McEwen Inc.,TSX,https://www.mcewenmining.com,,,,,not_found,0,0,2026-04-03T18:06:33.741458,
LAM,Laramide Resources Ltd.,TSX,https://www.laramide.com,,,,,not_found,0,0,2026-04-03T18:06:23.689225,
LUN,Lundin Mining Corporation,TSX,https://www.lundinmining.com,https://www.lundinmining.com/investors/corporate-filings/,https://www.lundinmining.com/_resources/corporate-filings/LMC-Form-of-Proxy-2026.pdf?v=040310,,,sitemap,75,119,2026-04-03T18:06:29.174598,
NG,NovaGold Resources Inc.,TSX,https://www.novagold.com,,,,,not_found,0,0,2026-04-03T18:06:40.688699,
NDM,Northern Dynasty Minerals Ltd.,TSX,https://www.northerndynastyminerals.com,https://northerndynastyminerals.com:443/investors/presentations/,https://northerndynastyminerals.com:443/site/assets/files/5188/ndm_presentation_january_16_2026.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\NDM\pdfs\Presentations\ndm_presentation_january_16_2026.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/NDM/ndm_presentation_january_16_2026.pdf,path_probe,75,15169,2026-04-03T18:06:36.479529,
NUAG,New Pacific Metals Corp.,TSX,https://www.newpacificmetals.com,,,,,not_found,0,0,2026-04-03T18:06:42.687109,
NXE,NexGen Energy Ltd.,TSX,https://www.nexgenenergy.ca,,,,,not_found,0,0,2026-04-03T18:06:47.532238,
OGC,OceanaGold Corporation,TSX,https://www.oceanagold.com,,,,,not_found,0,0,2026-04-03T18:06:50.791578,
NGEX,NGEx Minerals Ltd.,TSX,https://ngexminerals.com,,,,,not_found,0,0,2026-04-03T18:06:42.665716,
LUG,Lundin Gold Inc.,TSX,https://www.lundingold.com,,,,,not_found,0,0,2026-04-03T18:06:28.324414,
ORV,Orvana Minerals Corp.,TSX,https://www.orvana.com,,,,,not_found,0,0,2026-04-03T18:07:02.480640,
OCG,Outcrop Silver & Gold Corporation,TSX,https://www.outcropsilver.com,,,,,not_found,0,0,2026-04-03T18:06:48.431918,
MARI,Marimaca Copper Corp.,TSX,https://www.marimaca.com,,,,,not_found,0,0,2026-04-03T18:06:29.753739,
MNO,Meridian Mining plc,TSX,https://www.meridianmining.co,,,,,not_found,0,0,2026-04-03T18:06:31.992312,
LGD,Liberty Gold Corp.,TSX,https://www.libertygold.ca,,,,,not_found,0,0,2026-04-03T18:06:27.389997,
PMET,PMET Resources Inc.,TSX,https://www.pmet.ca,,,,,not_found,0,0,2026-04-03T18:07:11.561006,
RM,Roxmore Resources Inc.,TSX,https://www.roxmoreresources.com,https://www.roxmoreresources.com/,https://cdn.prod.website-files.com/68fa002fb7797b67408f035b/69b80aa81d7e2542d8a5037c_RoxMore_Presentation_March_2026.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\RM\pdfs\Presentations\69b80aa81d7e2542d8a5037c_RoxMore_Presentation_March_2026.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/RM/69b80aa81d7e2542d8a5037c_RoxMore_Presentation_March_2026.pdf,path_probe,50,6071,2026-04-03T18:07:18.275783,
ORE,Orezone Gold Corporation,TSX,https://www.orezone.com,,,,,not_found,0,0,2026-04-03T18:07:00.825980,
OM,Osisko Metals Incorporated,TSX,https://www.osiskometals.com,https://osiskometals.com/presentations/,https://osiskometals.com/wp-content/uploads/2026/04/20260401_OM-Deck-April.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\OM\pdfs\Presentations\20260401_OM-Deck-April.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/OM/20260401_OM-Deck-April.pdf,path_probe,95,4042,2026-04-03T18:07:00.440452,
OLA,Orla Mining Ltd,TSX,https://www.orlamining.com,,,,,not_found,0,0,2026-04-03T18:06:55.306370,
GTWO,G2 Goldfields Inc.,TSX,https://www.g2goldfields.com,,,,,not_found,0,0,2026-04-03T18:06:02.547990,
RTG,RTG Mining Inc.,TSX,https://www.rtgmining.com,,,,,not_found,0,0,2026-04-03T18:07:20.904291,
SEA,Seabridge Gold Inc.,TSX,https://www.seabridgegold.com,https://www.seabridgegold.com/,https://cdn.prod.website-files.com/5f8f6760f825687e7c1c6508/69c18e5ded82e69c65be0e54_2026-03-Seabridge%20Investor%20Presentation%20-%20FINAL.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SEA\pdfs\Presentations\69c18e5ded82e69c65be0e54_2026-03-Seabridge%20Investor%20Presentation%20-%20FINAL.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SEA/69c18e5ded82e69c65be0e54_2026-03-Seabridge%20Investor%20Presentation%20-%20FINAL.pdf,path_probe,95,6683,2026-04-03T18:07:31.746508,
SLS,Solaris Resources Inc.,TSX,https://www.solarisresources.com,,,,,not_found,0,0,2026-04-03T18:07:39.750411,
SAU,St. Augustine Gold and Copper Limited,TSX,http://www.sagcmining.com,https://sagcmining.com/investors-portal/presentations/,https://sagcmining.com/wp-content/uploads/2025/10/SAU-Corporate-Presentation-September-2025.pdf.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SAU\pdfs\Presentations\SAU-Corporate-Presentation-September-2025.pdf.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SAU/SAU-Corporate-Presentation-September-2025.pdf.pdf,path_probe,120,1711,2026-04-03T18:07:29.922215,
SGD,Snowline Gold Corp.,TSX,https://www.snowlinegold.com,https://www.snowlinegold.com/,https://cdn.prod.website-files.com/68a4efe604ec81b5bb8528eb/6998afacad2b54cfe43bbe51_Investor%20Presentation%20-%20Q1%202026%20-%20NL-V2-lr.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SGD\pdfs\Presentations\6998afacad2b54cfe43bbe51_Investor%20Presentation%20-%20Q1%202026%20-%20NL-V2-lr.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SGD/6998afacad2b54cfe43bbe51_Investor%20Presentation%20-%20Q1%202026%20-%20NL-V2-lr.pdf,path_probe,55,8724,2026-04-03T18:07:36.771050,
STLR,STLLR Gold Inc.,TSX,https://www.stllrgold.com,,,,,not_found,0,0,2026-04-03T18:07:43.282738,
SXGC,Southern Cross Gold Consolidated Ltd.,TSX,https://www.southerncrossgold.com,,,,,not_found,0,0,2026-04-03T18:07:47.633641,
SVM,Silvercorp Metals Inc.,TSX,http://www.silvercorp.ca,,,,,not_found,0,0,2026-04-03T18:07:45.032773,
PPTA,Perpetua Resources Corp.,TSX,https://www.perpetuaresources.com,,,,,not_found,0,0,2026-04-03T18:07:14.526999,
TKO,Taseko Mines Limited,TSX,https://www.tasekomines.com,,,,,not_found,0,0,2026-04-03T18:07:48.754717,
SKE,Skeena Resources Limited,TSX,https://www.skeenaresources.com,,,,,not_found,0,0,2026-04-03T18:07:39.202489,
RUA,Rua Gold Inc.,TSX,https://www.ruagold.com,,,,,not_found,0,0,2026-04-03T18:07:26.002002,
URE,Ur-Energy Inc.,TSX,https://www.ur-energy.com,https://www.ur-energy.com/investors/overview,https://d1io3yog0oux5.cloudfront.net/_bd89be048e467c2d8eb57eb3c03b14b7/urenergy/db/640/5644/pdf/Corporate+Presentation+-+March+2026v3.1+FINAL.pdf,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\URE\pdfs\Presentations\Corporate+Presentation+-+March+2026v3.1+FINAL.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/URE/Corporate+Presentation+-+March+2026v3.1+FINAL.pdf,sitemap,65,1310,2026-04-03T18:08:10.332080,
SSRM,SSR Mining Inc.,TSX,https://www.ssrmining.com,https://www.ssrmining.com/,https://www.ssrmining.com/_resources/news/nr-20260217.pdf?v1,C:\Users\Admin\Mineral Media\Mineral Media Shared Library - Documents\13 - DS AI\2. SEDAR+\3. Company Onboarding\Results\SSRM\pdfs\Presentations\nr-20260217.pdf,https://pub-e6549556cd074443b759440dcb9b174f.r2.dev/onboarding/SSRM/nr-20260217.pdf,path_probe,25,1112,2026-04-03T18:07:40.040766,
TXG,Torex Gold Resources Inc.,TSX,https://www.torexgold.com,,,,,not_found,0,0,2026-04-03T18:08:01.910948,
TMQ,Trilogy Metals Inc.,TSX,https://www.trilogymetals.com,,,,,not_found,0,0,2026-04-03T18:07:57.593989,
WDO,Wesdome Gold Mines Ltd.,TSX,https://www.wesdome.com,,,,,not_found,0,0,2026-04-03T18:08:18.320965,
STGO,Steppe Gold Ltd.,TSX,https://www.steppegold.com,,,,,not_found,0,0,2026-04-03T18:07:42.411954,
TSK,Talisker Resources Ltd.,TSX,https://www.taliskerresources.com,,,,,not_found,0,0,2026-04-03T18:08:00.410883,
ADE,Adex Mining Inc.,TSXV,http://www.adexmining.com,,,,,not_found,0,0,2026-04-03T18:08:28.662431,
WRN,Western Copper and Gold Corporation,TSX,https://www.westerncopperandgold.com,,,,,not_found,0,0,2026-04-03T18:08:25.559317,
VZLA,Vizsla Silver Corp.,TSX,https://vizslasilvercorp.com,,,,,not_found,0,0,2026-04-03T18:08:15.774437,
RUP,Rupert Resources Ltd.,TSX,https://www.rupertresources.com,,,,,not_found,0,0,2026-04-03T18:07:27.994228,
USA,Americas Gold and Silver Corporation,TSX,https://www.americas-gold.com,,,,,not_found,0,0,2026-04-03T18:08:15.765779,
WM,Wallbridge Mining Company Limited,TSX,https://www.wallbridgemining.com,,,,,not_found,0,0,2026-04-03T18:08:18.329442,
